GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests,StayingDuration,DaysUntilCheckIn
78,Rahul,Male,23,American,1/13/2019,3/28/2019,4/8/2019,0,2,1,Leisure,Completed,First-Time Visitor,33,9
79,James,Male,29,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,Regular Guest,9,21
80,Sara Beltran,Female,37,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,Regular Guest,9,21
81,Don Stone,Male,35,Russian,6/27/2019,6/27/2019,6/28/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,3,16
82,Mrs Rosalind Pittman,Female,63,Iranian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
83,Deborah,Female,37,Iranian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
84,Daniel,Female,30,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Completed,First-Time Visitor,9,21
85,Peter,Male,20,Azerbaijani,1/8/2022,1/8/2022,1/10/2022,1,3,2,Leisure,Completed,Regular Guest,4,16
86,Kate,Male,43,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,First-Time Visitor,9,21
87,Kyle,Female,25,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
88,Amy,Male,46,Russian,11/19/2021,11/19/2021,11/20/2021,1,3,2,Leisure,Completed,First-Time Visitor,3,16
89,Ashwin,Male,49,Azerbaijani,9/12/2021,9/12/2021,9/17/2021,0,2,1,Leisure,Completed,First-Time Visitor,5,16
90,Tristan,Male,54,Turkish,5/15/2022,5/15/2022,5/17/2022,0,2,1,Leisure,Completed,First-Time Visitor,4,16
91,Karim,Male,42,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
92,Jimmy,Male,35,Russian,6/1/2016,6/1/2016,6/3/2016,0,2,1,Leisure,Late Check-Out,First-Time Visitor,4,16
93,Philip Wadsworth,Male,23,Indian,12/23/2016,12/23/2016,12/24/2016,1,3,2,Leisure,Completed,Regular Guest,3,16
94,William,Male,40,Russian,1/4/2015,1/4/2015,1/10/2015,0,2,1,Leisure,Completed,Regular Guest,6,16
95,Vasily Petrovich,Male,27,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
96,Mrs Shibani Kapoor,Male,39,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Completed,First-Time Visitor,9,21
97,MARCUS NICHOLAS,Male,37,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
98,Maria,Female,55,Russian,6/26/2017,6/30/2017,7/1/2017,1,3,2,Business,Late Check-Out,Regular Guest,3,6
99,Mrs Jazmin Mcclain,Female,25,Russian,6/4/2019,7/12/2019,7/13/2019,1,3,2,Business,Completed,Regular Guest,3,21
100,Mr Paul,Male,45,Azerbaijani,9/6/2016,9/6/2016,9/8/2016,1,3,2,Corporate,Completed,Regular Guest,4,16
101,Mr Alex,Male,32,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Late Check-Out,First-Time Visitor,9,21
102,Mark,Male,52,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Late Check-Out,First-Time Visitor,9,21
103,Vajira,Male,23,Russian,1/27/2018,1/27/2018,1/27/2018,1,3,2,Leisure,Completed,First-Time Visitor,4,16
104,Mr Ismaeel Al,Male,25,Russian,5/20/2022,5/21/2022,5/23/2022,1,3,2,Business,Completed,First-Time Visitor,4,8
105,Mr Shantanu Ganguly,Male,35,American,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
106,Lea Gaudin,Female,59,Iranian,5/21/2019,5/23/2019,5/26/2019,0,2,1,Corporate,Late Check-Out,First-Time Visitor,3,21
107,MR PAUL,Male,63,Iranian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,Regular Guest,9,21
108,Mrs Utkarsh Sharma,Male,20,Indian,4/30/2021,7/8/2021,7/9/2021,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,15
109,Jeffrey Boesl,Male,40,Azerbaijani,8/2/2019,8/5/2019,8/10/2019,0,2,1,Leisure,Completed,First-Time Visitor,5,9
110,Nizami,Male,53,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
111,Freddy,Male,54,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,9,21
112,Mrs Kangana Shree,Female,28,Iranian,8/10/2016,8/10/2016,8/11/2016,1,3,2,Business,Completed,First-Time Visitor,3,16
113,Mr Huan Wang,Male,35,Saudi Arabian,1/1/2015,2/25/2015,3/20/2015,0,2,1,Leisure,Completed,Regular Guest,43,21
114,Melanie Collins,Female,23,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,First-Time Visitor,9,21
115,Kenneth,Male,31,Russian,5/22/2022,5/22/2022,5/23/2022,1,3,2,Leisure,Completed,First-Time Visitor,3,16
116,Morpurgo,Male,31,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
117,Kitty,Female,34,Russian,4/24/2019,4/25/2019,4/27/2019,1,3,2,Leisure,Completed,First-Time Visitor,4,8
118,Mr Howard Lee,Male,27,Azerbaijani,7/10/2020,7/13/2020,7/14/2020,0,2,1,Leisure,Completed,First-Time Visitor,3,9
119,Mrs Subi S,Female,54,American,6/29/2019,8/1/2019,8/4/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,3,27
120,Mr Arthur Morrison,Male,54,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
121,Mr Dung inh,Male,48,Russian,11/11/2019,11/12/2019,11/13/2019,1,3,2,Corporate,Completed,First-Time Visitor,3,8
122,Lauren Duggan,Male,38,Russian,8/22/2019,8/22/2019,8/25/2019,0,2,1,Leisure,Late Check-Out,Regular Guest,3,16
123,Kim Ng,Male,28,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
124,MRS ANJALI S,Female,29,Russian,11/11/2021,1/31/2022,2/1/2022,1,3,2,Leisure,Completed,First-Time Visitor,3,27
125,Willem Jansen,Male,29,Russian,4/25/2019,4/25/2019,4/26/2019,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,16
126,MR ABDUL MALIK,Male,35,Russian,6/6/2020,6/6/2020,6/6/2020,1,3,2,Leisure,Completed,First-Time Visitor,4,16
127,Mrs Wolfgang Bosch,Male,48,Iranian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,Regular Guest,9,21
128,Kathy,Female,17,Turkish,1/17/2021,1/18/2021,1/20/2021,1,3,2,Business,Completed,First-Time Visitor,4,8
129,Alice,Female,35,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
130,Mrs Martina,Female,30,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
131,Sue,Female,22,Indian,6/7/2019,6/7/2019,6/8/2019,0,2,1,Leisure,Completed,Regular Guest,3,16
132,Mr Thomas Greene,Male,31,Russian,10/20/2022,1/4/2023,1/7/2023,1,3,2,Leisure,Late Check-Out,Regular Guest,3,9
133,Mr Brent Lee,Male,34,Russian,11/27/2019,11/27/2019,11/28/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,16
134,Mr JAMES SCHLUTER,Male,38,Austria,9/23/2019,9/23/2019,9/24/2019,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,16
135,Mrs Akemi Miyoshi,Female,43,Kazakhstan,4/25/2016,4/26/2016,4/29/2016,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,8
136,Giggs,Male,27,Saudi Arabian,5/14/2019,5/14/2019,5/14/2019,1,3,2,Leisure,Completed,First-Time Visitor,4,16
137,Mrs Soban Mehboob,Female,26,Russian,6/24/2015,8/2/2015,8/3/2015,1,3,2,Business,Completed,First-Time Visitor,3,27
138,Mr Ashok Krishna Pillai,Male,24,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,2,Business,Late Check-Out,First-Time Visitor,9,21
139,Heather,Female,46,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
140,RICKY,Male,38,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,Regular Guest,9,21
141,John,Male,25,Indian,4/29/2023,5/3/2023,5/6/2023,1,3,2,Leisure,Completed,First-Time Visitor,3,6
142,sanket joshi,Male,26,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
143,Yelena,Female,29,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
144,Mrs Elsa S Shaw,Female,39,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,Regular Guest,9,21
145,Deborah,Female,39,Russian,9/20/2019,9/20/2019,9/21/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,16
146,George,Male,32,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
147,Michael,Male,31,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
148,Rafael,Male,42,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
149,Pancho,Male,31,Saudi Arabian,9/15/2019,9/16/2019,9/19/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,8
150,Mr Mark Steele,Male,35,Russian,5/24/2021,5/24/2021,5/27/2021,0,2,1,Leisure,Completed,Regular Guest,3,16
151,NHAT NGUYEN,Female,38,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Completed,First-Time Visitor,9,21
21,Aditya,Male,25,Russian,9/4/2018,9/4/2018,9/24/2018,1,3,2,Business,Late Check-Out,First-Time Visitor,44,16
153,HONGHUI LI,Male,33,Russian,9/2/2021,9/3/2021,9/6/2021,1,3,2,Business,Completed,First-Time Visitor,3,8
154,JULIAN GRANT,Female,64,Turkish,6/22/2019,6/24/2019,6/27/2019,1,3,2,Leisure,Completed,First-Time Visitor,3,21
155,Mr Liu,Male,48,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,Regular Guest,9,21
156,Steven,Male,28,American,11/17/2017,11/19/2017,11/20/2017,1,3,2,Leisure,Completed,First-Time Visitor,3,21
157,Michael,Male,37,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,First-Time Visitor,9,21
158,Mr Adam P Garcia,Male,40,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
159,Nguyen Minh,Male,25,Russian,4/12/2019,4/13/2019,4/15/2019,1,3,2,Business,Completed,First-Time Visitor,4,8
160,NK HUANG,Male,42,Russian,12/14/2021,12/14/2021,12/15/2021,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,16
161,Mr James,Male,36,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
21,Mr MICHAEL,Male,30,Turkish,8/29/2018,9/25/2018,9/27/2018,1,3,2,Leisure,Completed,Regular Guest,4,16
163,Mr Brian Zhou,Male,37,Indian,2/25/2017,2/25/2017,3/4/2017,0,2,2,Leisure,Completed,First-Time Visitor,7,16
164,Josephine,Female,21,Russian,8/10/2020,8/14/2020,8/15/2020,1,3,2,Business,Completed,First-Time Visitor,3,6
165,Mr Omar Saeed,Male,36,Russian,7/23/2019,7/23/2019,7/24/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,3,16
166,James,Male,29,Turkish,3/27/2022,3/27/2022,3/28/2022,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,16
167,Kim,Male,29,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
168,Mrs Tina Sutherland,Male,47,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,First-Time Visitor,9,21
169,Michael,Male,45,Azerbaijani,1/7/2020,1/7/2020,1/13/2020,1,3,2,Leisure,Late Check-Out,Regular Guest,6,16
170,Mr Xavier Tremblay,Male,45,Russian,1/16/2019,1/17/2019,1/18/2019,1,3,2,Business,Late Check-Out,Regular Guest,3,8
171,Julie,Female,27,Saudi Arabian,7/3/2016,7/4/2016,7/6/2016,0,2,1,Leisure,Completed,Regular Guest,4,8
172,Virginia,Female,34,Russian,4/28/2019,4/28/2019,4/28/2019,0,2,1,Leisure,Completed,First-Time Visitor,4,16
173,SAM,Male,33,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Corporate,Completed,First-Time Visitor,9,21
174,Mr Amit Agarwal,Male,33,American,9/6/2022,9/6/2022,9/10/2022,1,3,2,Leisure,Completed,First-Time Visitor,4,16
175,Sabrina,Female,28,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,Regular Guest,9,21
176,Mrs Irina R Aguilar,Male,42,Russian,12/20/2022,12/20/2022,12/21/2022,1,3,2,Corporate,Completed,First-Time Visitor,3,16
177,Mr Vijay Tiwari,Male,28,German,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Completed,First-Time Visitor,9,21
178,Mrs Lacey Mc Kinney,Female,33,Turkish,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,First-Time Visitor,9,21
179,Chandrika Kizha,Female,24,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Late Check-Out,First-Time Visitor,9,21
180,Yvonne,Female,32,Indian,4/18/2019,5/6/2019,5/22/2019,0,2,1,Leisure,Completed,Regular Guest,36,27
181,SHEIKH ALI,Male,33,Iranian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,Regular Guest,9,21
182,Mr Virender Chaudhary,Male,40,Indian,2/28/2022,3/1/2022,3/2/2022,1,3,2,Leisure,Completed,First-Time Visitor,3,8
183,Mrs Lingling Feng,Female,35,Iranian,5/31/2017,8/20/2017,8/21/2017,1,3,2,Business,Completed,First-Time Visitor,3,27
184,Ashwin,Male,33,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
185,Mrs Fanny Abbott,Female,61,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
186,HAROLD,Male,39,Azerbaijani,5/27/2022,5/27/2022,5/29/2022,1,3,2,Leisure,Completed,First-Time Visitor,4,16
187,MRS PRITHVI NARAYAN,Male,31,Indian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Business,Completed,First-Time Visitor,9,21
188,BLOM BLAIR,Female,41,Saudi Arabian,9/25/2019,9/25/2019,9/27/2019,1,3,2,Leisure,Completed,First-Time Visitor,4,16
189,Jonny,Male,30,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,Regular Guest,9,21
190,MRS MANUELA HUGO,Female,64,Russian,11/19/2019,11/21/2019,11/22/2019,1,3,2,Corporate,Late Check-Out,First-Time Visitor,3,21
191,GRANT,Male,31,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
192,Mrs Paula A Govan,Male,31,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
193,Mr Timothy R Webb,Male,46,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Corporate,Completed,Regular Guest,9,21
194,Jessica Watts,Female,19,Azerbaijani,8/19/2022,9/6/2022,9/10/2022,1,3,2,Leisure,Completed,Regular Guest,4,27
195,Joseph Bowen,Male,36,Azerbaijani,1/14/2019,1/14/2019,1/15/2019,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,16
196,Mr Trevor Gosling,Male,33,Russian,7/2/2021,7/2/2021,7/26/2021,1,3,2,Corporate,Completed,First-Time Visitor,44,16
197,Mr Hassan Mohd,Male,33,Russian,1/20/2018,1/21/2018,1/22/2018,1,3,2,Leisure,Completed,First-Time Visitor,3,8
