GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,Adults,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests
24,Mrs. Pham Thi Van Anh,Female,27,Indian,6/17/2024,6/24/2024,6/24/2024,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
25,Mr. Hiroshi Uchida,Male,40,Russian,8/15/2024,8/22/2024,8/29/2024,1,N/A,3,2 room,Corporate,Completed,First-Time Visitor
26,Mr. Thomas,Male,30,Russian,8/13/2024,8/20/2024,8/27/2024,0,N/A,2,1 room,Corporate,Completed,First_Time Visitor
27,Mrs. M.L. Serra,Female,48,Iranian,8/6/2024,8/13/2024,8/20/2024,1,N/A,3,2 room,Leisure,Completed,Regular Guest
28,Rahul,Male,25,Russian,8/5/2024,8/12/2024,8/19/2024,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
29,Ivanka,Female,19,Russian,7/30/2024,8/6/2024,8/13/2024,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
30,CHRISTIAN WELLINGMEISTER,Male,34,Russian,7/22/2024,7/29/2024,8/5/2024,0,N/A,2,1 room,Business,Completed,First-Time Visitor
31,SANJAY GUPTA,Male,45,Russian,7/17/2024,7/24/2024,7/31/2024,1,N/A,3,2 room,Business,Completed,Regular Guest
32,Mrs. Aishwarya Mishra,Female,39,Russian,7/14/2024,7/21/2024,7/28/2024,1,N/A,3,2 room,Leisure,Completed,Regular Guest
33,Ms. Angelo Curry,Female,32,Indian,7/12/2024,7/19/2024,7/26/2024,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
34,Mr. Raghu Kadoju,Male,46,Russian,7/7/2024,7/14/2024,7/21/2024,1,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
35,Alfred Chan,Male,54,Russian,7/5/2024,7/12/2024,7/19/2024,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
36,Brian,Male,42,Russian,7/2/2024,7/9/2024,7/16/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
37,Mr. Ehsan M.,Male,55,Russian,6/26/2024,7/3/2024,7/10/2024,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
38,Jordan Chen,Female,37,Russian,6/23/2024,6/30/2024,7/7/2024,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
39,Mrs. Alicia S. Pine,Female,30,Saudi Arabian,6/23/2024,6/30/2024,7/7/2024,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
40,Mrs. Calvin Zuniga,Male,47,Turkish,6/21/2024,6/28/2024,7/5/2024,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
41,Mr. Dinesh,Male,44,Russian,6/12/2024,6/19/2024,6/26/2024,1,N/A,3,2 room,Corporate,Completed,First-Time Visitor
42,Eric,Male,27,Indian,6/11/2024,6/18/2024,6/25/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
43,Mr. Achmad Nugroho,Male,39,Turkish,6/11/2024,6/18/2024,6/25/2024,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
44,Vipul,Male,38,Iranian,6/11/2024,6/18/2024,6/25/2024,1,N/A,3,2 room,Leisure,Completed,Regular Guest
45,Mr. Saad Bin Saleh,Male,37,Turkish,6/10/2024,6/17/2024,6/24/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
46,Michael,Male,32,Russian,6/10/2024,6/17/2024,6/24/2024,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
47,James,Male,35,Azerbaijani,6/3/2024,6/10/2024,6/21/2024,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
48,Mrs. Danille Proudfoot,Female,61,Russian,6/2/2024,6/9/2024,6/20/2024,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
49,Miss Vivianna Tadd,Male,36,Russian,6/12/2024,6/19/2024,6/26/2024,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
50,Julie,Female,30,Russian,6/11/2024,6/18/2024,6/25/2024,0,N/A,2,1 room,Corporate,Completed,Regular Guest
51,Sibir,Female,25,Russian,10/22/2016,10/22/2016,10/24/2016,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
52,Ms. Ruth A. Parrish,Female,29,Azerbaijani,6/6/2018,7/9/2018,7/10/2018,1,N/A,3,2 room,Corporate,Completed,Regular Guest
53,Taiyeb Ibrahim,Male,37,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
54,SARA,Female,54,Russian,1/9/2022,1/16/2022,1/20/2022,1,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
55,Chakib,Male,36,Azerbaijani,3/11/2021,3/11/2021,3/12/2021,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
56,Mr. Shakti S Kodiyankara,Male,66,Russian,4/15/2023,4/16/2023,4/18/2023,0,N/A,2,1 room,Business,Completed,First-Time Visitor
57,Mr. Srihari Rittala,Male,32,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
58,James,Male,55,Azerbaijani,3/14/2020,3/14/2020,3/14/2020,1,N/A,3,2 room,Leisure,Completed,Regular Guest
59,Mr. Shaun Hess,Male,38,Russian,6/8/2016,8/15/2016,8/16/2016,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
60,Mr. Zhang,Male,46,Russian,6/23/2019,6/24/2019,7/1/2019,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
61,Mr. Eric Samuel,Male,33,Azerbaijani,5/26/2019,5/27/2019,5/29/2019,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
62,Rohan,Female,21,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Completed,First_Time Visitor
63,Megha,Female,39,Turkish,8/14/2019,8/14/2019,8/17/2019,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
64,"PATEL, PREM",Female,32,Indian,5/11/2019,5/11/2019,5/17/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
65,Mr. Rakesh Gautam,Male,24,Russian,9/22/2019,9/22/2019,9/25/2019,1,N/A,3,2 room,Business,Completed,Regular Guest
66,Alan,Male,23,Indian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
67,Orhan,Male,42,Turkish,7/21/2020,7/21/2020,8/16/2020,1,N/A,3,2 room,Business,Completed,First-Time Visitor
68,MARCEL,Male,32,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
69,SUMILA T N,Male,66,Spanish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
70,BRYAN,Male,58,Azerbaijani,6/17/2019,6/18/2019,6/20/2019,0,N/A,2,1 room,Leisure,Completed,Regular Guest
71,Shankar,Male,28,Russian,11/15/2020,11/16/2020,11/18/2020,1,N/A,3,2 room,Leisure,Completed,Regular Guest
72,Dora,Female,42,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
73,Dipankar Saha,Male,36,Russian,9/8/2019,9/10/2019,9/11/2019,1,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
74,Ms. Jasmine,Female,50,American,2/24/2019,2/25/2019,3/2/2019,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
75,Durga Surya,Male,43,Russian,7/12/2018,9/1/2018,9/3/2018,0,N/A,2,1 room,Leisure,Completed,Regular Guest
76,Deborah,Male,28,Iranian,5/6/2019,5/7/2019,5/10/2019,0,N/A,2,1 room,Business,Completed,First_Time Visitor
77,Brian,Male,36,Russian,3/16/2016,3/16/2016,3/21/2016,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
78,Rahul,Male,23,American,1/13/2019,3/28/2019,4/8/2019,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
79,James,Male,29,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,Regular Guest
80,Sara Beltran,Female,37,Turkish,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Corporate,Late Check-Out,Regular Guest
81,Don Stone,Male,35,Russian,6/27/2019,6/27/2019,6/28/2019,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
82,Mrs. Rosalind Pittman,Female,63,Iranian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
83,Deborah,Female,37,Iranian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
84,Daniel,Female,30,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Completed,First-Time Visitor
85,Peter,Male,20,Azerbaijani,1/8/2022,1/8/2022,1/10/2022,1,N/A,3,2 room,Leisure,Completed,Regular Guest
86,Kate,Male,43,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
87,Kyle,Female,25,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
88,Amy,Male,46,Russian,11/19/2021,11/19/2021,11/20/2021,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
89,Ashwin,Male,49,Azerbaijani,9/12/2021,9/12/2021,9/17/2021,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
90,Tristan,Male,54,Turkish,5/15/2022,5/15/2022,5/17/2022,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
91,Karim,Male,42,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
92,Jimmy,Male,35,Russian,6/1/2016,6/1/2016,6/3/2016,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
93,Philip Wadsworth,Male,23,Indian,12/23/2016,12/23/2016,12/24/2016,1,N/A,3,2 room,Leisure,Completed,Regular Guest
94,William,Male,40,Russian,1/4/2015,1/4/2015,1/10/2015,0,N/A,2,1 room,Leisure,Completed,Regular Guest
95,Vasily Petrovich,Male,27,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,First_Time Visitor
96,Mrs. Shibani Kapoor,Male,39,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Completed,First-Time Visitor
97,MARCUS NICHOLAS,Male,37,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
98,Maria,Female,55,Russian,6/26/2017,6/30/2017,7/1/2017,1,N/A,3,2 room,Business,Late Check-Out,Regular Guest
99,Mrs. Jazmin Mcclain,Female,25,Russian,6/4/2019,7/12/2019,7/13/2019,1,N/A,3,2 room,Business,Completed,Regular Guest
100,Mr. Paul,Male,45,Azerbaijani,9/6/2016,9/6/2016,9/8/2016,1,N/A,3,2 room,Corporate,Completed,Regular Guest
101,Mr. Alex,Male,32,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Late Check-Out,First-Time Visitor
102,Mark,Male,52,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Late Check-Out,First_Time Visitor
103,Vajira,Male,23,Russian,1/27/2018,1/27/2018,1/27/2018,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
104,Mr. Ismaeel Al-Qahtani,Male,25,Russian,5/20/2022,5/21/2022,5/23/2022,1,N/A,3,2 room,Business,Completed,First-Time Visitor
105,Mr. Shantanu Ganguly,Male,35,American,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
106,Lea Gaudin,Female,59,Iranian,5/21/2019,5/23/2019,5/26/2019,0,N/A,2,1 room,Corporate,Late Check-Out,First-Time Visitor
107,MR PAUL,Male,63,Iranian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,Regular Guest
108,Mrs. Utkarsh Sharma,Male,20,Indian,4/30/2021,7/8/2021,7/9/2021,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
109,Jeffrey Boesl,Male,40,Azerbaijani,8/2/2019,8/5/2019,8/10/2019,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
110,Nizami,Male,53,Turkish,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
111,Freddy,Male,54,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
112,Mrs. Kangana Shree,Female,28,Iranian,8/10/2016,8/10/2016,8/11/2016,1,N/A,3,2 room,Business,Completed,First-Time Visitor
113,Mr. Huan Wang,Male,35,Saudi Arabian,1/1/2015,2/25/2015,3/20/2015,0,N/A,2,1 room,Leisure,Completed,Regular Guest
114,Melanie Collins,Female,23,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
115,Kenneth,Male,31,Russian,5/22/2022,5/22/2022,5/23/2022,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
116,Mr. Azerbaijaniisco Morpurgo,Male,31,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,Regular Guest
117,Kitty,Female,34,Russian,4/24/2019,4/25/2019,4/27/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
118,Mr Howard Lee,Male,27,Azerbaijani,7/10/2020,7/13/2020,7/14/2020,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
119,Mrs. Subi S,Female,54,American,6/29/2019,8/1/2019,8/4/2019,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
120,Mr. Arthur Morrison,Male,54,Indian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
121,Mr. Dung Đinh,Male,48,Russian,11/11/2019,11/12/2019,11/13/2019,1,N/A,3,2 room,Corporate,Completed,First-Time Visitor
122,Lauren Duggan,Male,38,Russian,8/22/2019,8/22/2019,8/25/2019,0,N/A,2,1 room,Leisure,Late Check-Out,Regular Guest
123,Kim Ng,Male,28,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,Regular Guest
124,MRS. ANJALI S.,Female,29,Russian,11/11/2021,1/31/2022,2/1/2022,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
125,Willem Jansen,Male,29,Russian,4/25/2019,4/25/2019,4/26/2019,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
126,MR. ABDUL MALIK,Male,35,Russian,6/6/2020,6/6/2020,6/6/2020,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
127,Mrs. Wolfgang Bosch,Male,48,Iranian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,Regular Guest
128,Kathy,Female,17,Turkish,1/17/2021,1/18/2021,1/20/2021,1,N/A,3,2 room,Business,Completed,First-Time Visitor
129,Alice,Female,35,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
130,Mrs. Martina,Female,30,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
131,Sue,Female,22,Indian,6/7/2019,6/7/2019,6/8/2019,0,N/A,2,1 room,Leisure,Completed,Regular Guest
132,Mr. Thomas Greene,Male,31,Russian,10/20/2022,1/4/2023,1/7/2023,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
133,Mr. Brent Lee,Male,34,Russian,11/27/2019,11/27/2019,11/28/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
134,Mr. JAMES SCHLUTER,Male,38,Austria,9/23/2019,9/23/2019,9/24/2019,1,N/A,3,2 room,Leisure,Late Check-Out,First-Time Visitor
135,Mrs. Akemi Miyoshi,Female,43,Kazakhstan,4/25/2016,4/26/2016,4/29/2016,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
136,Giggs,Male,27,Saudi Arabian,5/14/2019,5/14/2019,5/14/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
137,Mrs. Soban Mehboob,Female,26,Russian,6/24/2015,8/2/2015,8/3/2015,1,N/A,3,2 room,Business,Completed,First_Time Visitor
138,Mr. Ashok Krishna Pillai,Male,24,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,2 room,Business,Late Check-Out,First-Time Visitor
139,Heather,Female,46,Turkish,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,First-Time Visitor
140,RICKY,Male,38,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,Regular Guest
141,John,Male,25,Indian,4/29/2023,5/3/2023,5/6/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
142,sanket joshi,Male,26,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
143,Yelena,Female,29,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
144,Mrs. Elsa S. Shaw,Female,39,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Late Check-Out,Regular Guest
145,Deborah,Female,39,Russian,9/20/2019,9/20/2019,9/21/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
146,George,Male,32,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
147,Michael,Male,31,Turkish,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
148,Rafael,Male,42,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
149,Pancho,Male,31,Saudi Arabian,9/15/2019,9/16/2019,9/19/2019,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
150,Mr. Mark Steele,Male,35,Russian,5/24/2021,5/24/2021,5/27/2021,0,N/A,2,1 room,Leisure,Completed,Regular Guest
151,NHAT NGUYEN,Female,38,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Completed,First-Time Visitor
152,Aditya,Male,25,Russian,9/4/2018,9/4/2018,9/24/2018,1,N/A,3,2 room,Business,Late Check-Out,First_Time Visitor
153,HONGHUI LI,Male,33,Russian,9/2/2021,9/3/2021,9/6/2021,1,N/A,3,2 room,Business,Completed,First-Time Visitor
154,JULIAN GRANT,Female,64,Turkish,6/22/2019,6/24/2019,6/27/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
155,Mr. Liu,Male,48,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Corporate,Completed,Regular Guest
156,Steven,Male,28,American,11/17/2017,11/19/2017,11/20/2017,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
157,Michael,Male,37,Turkish,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Corporate,Late Check-Out,First-Time Visitor
158,Mr. Adam P. Garcia,Male,40,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
159,Nguyen Minh,Male,25,Russian,4/12/2019,4/13/2019,4/15/2019,1,N/A,3,2 room,Business,Completed,First_Time Visitor
160,NK HUANG,Male,42,Russian,12/14/2021,12/14/2021,12/15/2021,1,N/A,3,2 room,Leisure,Late Check-Out,First_Time Visitor
161,Mr. James,Male,36,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,First-Time Visitor
162,Mr. MICHAEL,Male,30,Turkish,8/29/2018,9/25/2018,9/27/2018,1,N/A,3,2 room,Leisure,Completed,Regular Guest
163,Mr. Brian Zhou,Male,37,Indian,2/25/2017,2/25/2017,3/4/2017,0,N/A,2,2 room,Leisure,Completed,First-Time Visitor
164,Josephine,Female,21,Russian,8/10/2020,8/14/2020,8/15/2020,1,N/A,3,2 room,Business,Completed,First-Time Visitor
165,Mr.Omar Saeed,Male,36,Russian,7/23/2019,7/23/2019,7/24/2019,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
166,James,Male,29,Turkish,3/27/2022,3/27/2022,3/28/2022,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
167,Kim,Male,29,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
168,Mrs. Tina Sutherland,Male,47,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
169,Michael,Male,45,Azerbaijani,1/7/2020,1/7/2020,1/13/2020,1,N/A,3,2 room,Leisure,Late Check-Out,Regular Guest
170,Mr. Xavier Tremblay,Male,45,Russian,1/16/2019,1/17/2019,1/18/2019,1,N/A,3,2 room,Business,Late Check-Out,Regular Guest
171,Julie,Female,27,Saudi Arabian,7/3/2016,7/4/2016,7/6/2016,0,N/A,2,1 room,Leisure,Completed,Regular Guest
172,Virginia,Female,34,Russian,4/28/2019,4/28/2019,4/28/2019,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
173,SAM,Male,33,Indian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Corporate,Completed,First-Time Visitor
174,Mr. Amit Agarwal,Male,33,American,9/6/2022,9/6/2022,9/10/2022,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
175,Sabrina,Female,28,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,Regular Guest
176,Mrs. Irina R. Aguilar,Male,42,Russian,12/20/2022,12/20/2022,12/21/2022,1,N/A,3,2 room,Corporate,Completed,First_Time Visitor
177,Mr. Vijay Tiwari,Male,28,German,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Business,Completed,First_Time Visitor
178,Mrs. Lacey McKinney,Female,33,Turkish,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
179,Chandrika Kizhakkeveettil,Female,24,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Corporate,Late Check-Out,First-Time Visitor
180,Yvonne,Female,32,Indian,4/18/2019,5/6/2019,5/22/2019,0,N/A,2,1 room,Leisure,Completed,Regular Guest
181,SHEIKH ALI,Male,33,Iranian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,Regular Guest
182,Mr Virender Chaudhary,Male,40,Indian,2/28/2022,3/1/2022,3/2/2022,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
183,Mrs. Lingling Feng,Female,35,Iranian,5/31/2017,8/20/2017,8/21/2017,1,N/A,3,2 room,Business,Completed,First-Time Visitor
184,Ashwin,Male,33,Saudi Arabian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
185,Mrs. Fanny Abbott,Female,61,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
186,HAROLD,Male,39,Azerbaijani,5/27/2022,5/27/2022,5/29/2022,1,N/A,3,2 room,Leisure,Completed,First_Time Visitor
187,MRS. PRITHVI NARAYAN,Male,31,Indian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Business,Completed,First-Time Visitor
188,BLOM BLAIR,Female,41,Saudi Arabian,9/25/2019,9/25/2019,9/27/2019,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
189,Jonny,Male,30,Russian,1/1/2023,2/1/2023,2/10/2023,0,N/A,2,1 room,Corporate,Completed,Regular Guest
190,MRS. MANUELA HUGO,Female,64,Russian,11/19/2019,11/21/2019,11/22/2019,1,N/A,3,2 room,Corporate,Late Check-Out,First-Time Visitor
191,GRANT,Male,31,Russian,1/1/2023,2/1/2023,2/10/2023,1,N/A,3,2 room,Leisure,Completed,First-Time Visitor
